"","Bankruptcy_Rate","Unemployment_Rate","U_Pop","U9","House_Price_Index","H7"
"1",0.0073843,8.1,215326228.5,9.2,58,56.1
"2",0.0087892,7.8,207486856.2,8.9,58.6,56.4
"3",0.0092403,7.8,207655702.8,8.9,59.1,56.7
"4",0.0077377,7.7,205195898.6,8.7,60.2,57.2
"5",0.0081639,7.8,208090716.6,8.6,61,57.5
"6",0.0081204,7.6,202999078,8.4,61.5,57.7
"7",0.0068793,7.8,208624548.6,8.3,61.7,57.8
"8",0.0082455,7.8,208963856.4,8.2,62.2,58
"9",0.0083346,7.8,209350596,8,63.4,58.6
"10",0.0084527,7.8,209748169.8,8.1,63.8,59.1
"11",0.0092515,7.8,210101268,7.8,64.7,60.2
"12",0.0069074,7.4,199587079.8,7.8,65.5,61
"13",0.008096,7.5,202507740,7.7,66.2,61.5
"14",0.0083721,7.6,205431032.4,7.8,67.8,61.7
"15",0.0087307,7.5,202990860,7.6,68.9,62.2
"16",0.0082675,7.8,211428094.8,7.8,69.5,63.4
"17",0.0089546,7.7,209040416.2,7.8,69.7,63.8
"18",0.0090956,7.5,203917845,7.8,70.1,64.7
"19",0.0074806,7.5,204229222.5,7.8,70.3,65.5
"20",0.0096274,7.3,199116457.1,7.8,70.3,66.2
"21",0.0096541,7.3,199473295.7,7.4,70.6,67.8
"22",0.0106972,7.2,197076189.6,7.5,71,68.9
"23",0.0109531,7.5,205558192.5,7.6,71.4,69.5
"24",0.0085676,7.7,211201752.3,7.5,71.9,69.7
"25",0.010112,7.9,216797306.3,7.8,72.5,70.1
"26",0.0105391,7.7,211439358.9,7.7,72.6,70.3
"27",0.0119689,7.3,200661808.7,7.5,72.8,70.3
"28",0.0106408,7.6,209198603.2,7.5,72.6,70.6
"29",0.0122245,7.8,215026975.8,7.3,72.3,71
"30",0.0120437,7.6,209819074.8,7.3,71.4,71.4
"31",0.0120516,7.9,218416980.1,7.2,71,71.9
"32",0.0143838,8.1,224295666.3,7.5,70.3,72.5
"33",0.0128604,8.5,235758805,7.7,69.4,72.6
"34",0.0174302,8.8,244458086.4,7.9,68.8,72.8
"35",0.017823,9.1,253092812.7,7.7,68.2,72.6
"36",0.0143256,9.5,264396447.5,7.3,67.9,72.3
"37",0.0175887,9.8,272849620.4,7.6,66.9,71.4
"38",0.0183216,10.2,284094673.8,7.8,65.5,71
"39",0.0186113,10.5,292636333.5,7.6,65.8,70.3
"40",0.0202754,10.3,287328048.1,7.9,65.6,69.4
"41",0.0192426,10.2,284861183.4,8.1,66,68.8
"42",0.0172978,10.5,293612098.5,8.5,66,68.2
"43",0.0185747,10.5,294005533.5,8.8,66.1,67.9
"44",0.0178254,10.5,294406087.5,9.1,66,66.9
"45",0.0189569,10.3,289164723.5,9.5,66,65.5
"46",0.0207433,10.3,289486073.2,9.8,66,65.8
"47",0.0207075,10.4,292550596,10.2,65.7,65.6
"48",0.0172062,10.3,289911586.8,10.5,65.7,66
"49",0.0192712,10.4,292876064,10.3,65.6,66
"50",0.0201357,10.5,295877001,10.2,65.5,66.1
"51",0.0207982,10.9,307427207.9,10.5,65.7,66
"52",0.0191385,10.7,302128131.8,10.5,65.9,66
"53",0.0176583,11,310970715,10.5,65.9,66
"54",0.0195069,11.4,322651338.6,10.3,66,65.7
"55",0.0181011,11.3,320189545.4,10.3,66.1,65.7
"56",0.0159107,11.7,331938711,10.4,66.1,65.6
"57",0.0183746,11.6,329542254,10.3,66,65.5
"58",0.017549,11.4,324284799,10.4,66.1,65.7
"59",0.0180495,12.1,344574858.1,10.5,66.2,65.9
"60",0.0169548,11.7,333442184.4,10.9,66.1,65.9
"61",0.0159348,11.2,319380633.6,10.7,66,66
"62",0.0170088,11,313854464,11,66.3,66.1
"63",0.0194835,11.2,319785984,11.4,66.7,66.1
"64",0.0171261,11.6,331485068.4,11.3,67,66
"65",0.0161078,11.6,331772226.4,11.7,66.8,66.1
"66",0.0169675,11.7,334915226.1,11.6,66.9,66.2
"67",0.0153362,11.6,332354082.4,11.4,67,66.1
"68",0.0154411,11.2,321251011.2,12.1,67.1,66
"69",0.015842,11.5,330292926,11.7,67.1,66.3
"70",0.0161128,11.3,324984982.9,11.2,67,66.7
"71",0.0167935,11.3,325336311.2,11,67,67
"72",0.0151721,11.4,328427593.2,11.2,66.9,66.8
"73",0.0132819,11.4,328560232.2,11.6,67,66.9
"74",0.0161722,11.1,320050162.8,11.6,66.9,67
"75",0.0193778,10.6,305838196,11.7,66.9,67.1
"76",0.0158595,10.9,314777535.7,11.6,66.9,67.1
"77",0.0168953,10.7,309309030.2,11.2,66.9,67
"78",0.0163912,10.3,298043756.1,11.5,67,67
"79",0.0148103,10.1,292559751.2,11.3,66.9,66.9
"80",0.0160862,10.2,295800642.6,11.3,67,67
"81",0.0170783,10.1,293271498.2,11.4,67,66.9
"82",0.016373,10,290722310,11.4,66.9,66.9
"83",0.0172164,9.7,282271299.8,11.1,66.8,66.9
"84",0.01438,9.6,279521971.2,10.6,66.7,66.9
"85",0.0150681,9.6,279625939.2,10.9,66.7,67
"86",0.0175535,9.6,279739612.8,10.7,66.6,66.9
"87",0.0207694,9.7,282834860.1,10.3,66.5,67
"88",0.0176573,9.5,277242737,10.1,66.5,67
"89",0.020937,9.5,277508490,10.2,66.3,66.9
"90",0.0198599,9.5,277777701,10.1,66.1,66.8
"91",0.017404,9.6,280983926.4,10,66.1,66.7
"92",0.0216096,9.5,278367575,9.7,66.1,66.7
"93",0.0197498,9.2,269900841.6,9.6,66,66.6
"94",0.0227467,9.3,273153127.2,9.6,65.7,66.5
"95",0.021963,9.3,273414420,9.6,65.4,66.5
"96",0.0179753,9.4,276531258.6,9.7,65.5,66.3
"97",0.0213817,9.4,276658440.6,9.5,65.4,66.1
"98",0.0232635,9.5,279729694.5,9.5,65.2,66.1
"99",0.0230794,9.6,282849436.8,9.5,65,66.1
"100",0.0241464,9.3,274227230.7,9.6,64.8,66
"101",0.0251682,9.3,274475252.4,9.5,64.7,65.7
"102",0.0221851,9.8,289515578.8,9.2,64.8,65.4
"103",0.0226212,9.8,289825621.4,9.3,64.7,65.5
"104",0.0224959,9.5,281293347,9.3,64.7,65.4
"105",0.0231145,9.9,293515239.6,9.4,64.7,65.2
"106",0.0268965,9.9,293873431.5,9.4,64.7,65
"107",0.0243739,9.9,294150393.9,9.5,64.9,64.8
"108",0.0232808,9.8,291338320,9.6,64.9,64.7
"109",0.0240666,9.5,282514192,9.3,65,64.8
"110",0.0256679,9.6,285592089.6,9.3,65.2,64.7
"111",0.0252126,9.4,279808549.8,9.8,65.2,64.7
"112",0.0302306,9.4,280035813.6,9.8,65.3,64.7
"113",0.0270005,9.4,280288401,9.5,65.3,64.7
"114",0.0251767,9.2,274574736,9.9,65.3,64.9
"115",0.0244465,8.9,265873393.5,9.9,65.4,64.9
"116",0.0244839,8.9,266157846.4,9.9,65.4,65
"117",0.0279491,8.8,263473372.8,9.8,65.4,65.2
"118",0.0260164,8.9,266763171,9.5,65.4,65.2
"119",0.0217743,8.8,263988718.4,9.6,65.6,65.3
"120",0.0207281,8.5,255105298,9.4,65.7,65.3
"121",0.0193475,8.8,264170192,9.4,65.8,65.3
"122",0.0231096,8.6,258228003.2,9.4,65.8,65.4
"123",0.0265551,8.4,252331573.2,9.2,65.9,65.4
"124",0.0252676,8.3,249483043.4,8.9,65.9,65.4
"125",0.0246976,8.3,249662630.5,8.9,65.9,65.4
"126",0.0262935,8.4,252861151.2,8.8,66,65.6
"127",0.0215057,8.3,250052855,8.9,66.1,65.7
"128",0.0201428,8.1,244252762.2,8.8,66.1,65.8
"129",0.0226073,8.2,247516713,8.5,66,65.8
"130",0.0227645,8,241709816,8.8,66.1,65.9
"131",0.0229567,8,241881592,8.6,66.1,65.9
"132",0.0199464,8.2,248018093.8,8.4,66.1,65.9
"133",0.0192388,7.9,238985846.7,8.3,66.1,66
"134",0.0229891,7.9,239036983.4,8.3,66.1,66.1
"135",0.026831,7.9,239140189,8.4,66.3,66.1
"136",0.0243937,8.2,248382657.6,8.3,66.3,66
"137",0.0226793,7.9,239480908.1,8.1,66.3,66.1
"138",0.0235798,7.6,230580222.8,8.2,66.3,66.1
"139",0.0208643,7.6,230794284.4,8,66.5,66.1
"140",0.0212496,7.4,224964099.6,8,66.7,66.1
"141",0.0237542,7.5,228275850,8.2,66.8,66.1
"142",0.0234156,7.2,219392503.2,7.9,66.9,66.3
"143",0.024875,6.9,210426001.8,7.9,67.1,66.3
"144",0.0203319,6.7,204408671.9,7.9,67.3,66.3
"145",0.0206165,6.8,207497756.8,8.2,67.3,66.3
"146",0.0250175,6.8,207553979.2,7.9,67.5,66.5
"147",0.0277403,6.9,210728677.2,7.6,67.6,66.7
